City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Merauke,ID,79.61,overcast clouds,-8.4667,140.3333,
235,Lompoc,US,74.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
236,Nisia Floresta,BR,85.01,clear sky,-6.0911,-35.2086,Rancho Crepusculo
237,Patabog,PH,78.58,broken clouds,13.4531,122.4561,Canuyep Paradise
238,Imbituba,BR,76.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
240,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
241,Bang Saphan,TH,76.5,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
243,Kimparana,ML,85.37,clear sky,12.8347,-4.9244,
249,Atambua,ID,75.38,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
250,Tecoanapa,MX,83.32,clear sky,16.5167,-98.75,Hotel Manglares
252,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
253,Victor Harbor,AU,65.8,overcast clouds,-35.5667,138.6167,McCracken Country Club
254,Seydi,TM,53.74,clear sky,39.4816,62.9137,Seydi oteli
256,Taltal,CL,66.79,scattered clouds,-25.4,-70.4833,Residencial Karime
258,Pa Sang,TH,71.8,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
259,Sterling,US,50.99,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
262,Kavieng,PG,82.24,few clouds,-2.5744,150.7967,Nusa Island Retreat
263,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
266,Kuala Terengganu,MY,77.45,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
267,Monte Plata,DO,88.92,overcast clouds,18.807,-69.784,Hotel Principe Del Desvio
268,Biak,ID,76.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
269,Tomohon,ID,67.14,overcast clouds,1.3346,124.8392,Gardenia Country Inn
270,Mareeba,AU,74.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
272,Dickinson,US,77.22,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
276,Salinopolis,BR,82.8,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
277,Marzuq,YE,66.52,scattered clouds,14.4,46.4667,
278,Vaitape,PF,80.74,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
279,Constitucion,CL,61.68,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
280,Naze,JP,57.47,clear sky,28.3667,129.4833,Shishime Hotel
281,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
283,Port-Gentil,GA,79.93,light rain,-0.7193,8.7815,Fengshui Residence
