City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
57,Zvishavane,ZW,-20.3267,30.0665,66.2,79,100,7.9,overcast clouds
58,Lavrentiya,RU,65.5833,-171.0,-4.7,91,29,8.12,scattered clouds
59,Fortuna,US,40.5982,-124.1573,58.93,64,1,1.99,clear sky
60,Merritt Island,US,28.5392,-80.672,71.98,56,90,11.5,overcast clouds
61,Cape Town,ZA,-33.9258,18.4232,66.34,45,0,16.08,clear sky
62,Cabo San Lucas,MX,22.8909,-109.9124,84.61,50,1,9.22,clear sky
63,Hobart,AU,-42.8794,147.3294,57.02,84,20,0.0,few clouds
64,Palmer,US,42.1584,-72.3287,44.69,24,20,1.99,few clouds
65,Thompson,CA,55.7435,-97.8558,5.7,81,80,10.74,broken clouds
66,Tursunzoda,TJ,38.5144,68.2333,47.28,46,1,5.77,clear sky
67,Nikolskoye,RU,59.7035,30.7861,33.87,78,99,4.83,overcast clouds
68,Manta,EC,-0.95,-80.7333,83.98,65,20,13.8,few clouds
69,Shingu,JP,33.7333,135.9833,46.27,77,5,6.13,clear sky
70,Zaraza,VE,9.3503,-65.3245,86.36,60,100,2.91,overcast clouds
71,Aklavik,CA,68.2191,-135.0107,-24.52,100,99,3.71,overcast clouds
72,Sawtell,AU,-30.3833,153.1,73.42,89,75,12.66,light rain
73,Novyy Urengoy,RU,66.0833,76.6333,-2.4,98,98,8.48,overcast clouds
74,Soyo,AO,-6.1349,12.3689,78.49,81,100,8.03,overcast clouds
75,Lebu,CL,-37.6167,-73.65,61.0,73,26,9.62,scattered clouds
76,Corn Island,NI,12.1694,-83.0418,81.27,72,60,14.29,broken clouds
77,Mecca,SA,21.4267,39.8261,75.81,66,0,4.59,clear sky
78,Lerwick,GB,60.1545,-1.1494,44.6,71,91,31.41,overcast clouds
79,Coquimbo,CL,-29.9533,-71.3436,65.93,55,0,17.27,clear sky
80,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,23.02,broken clouds
81,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,12,9.44,few clouds
82,Fuengirola,ES,36.54,-4.6247,56.84,63,20,2.3,few clouds
83,Bantogon,PH,6.5333,124.0333,78.96,80,100,3.51,overcast clouds
84,San Cristobal,VE,7.7669,-72.225,75.38,87,67,2.91,broken clouds
85,Denpasar,ID,-8.65,115.2167,80.26,88,40,4.61,scattered clouds
86,Pinheiro Machado,BR,-31.5783,-53.3811,80.06,38,0,7.18,clear sky
87,Guerrero Negro,MX,27.9769,-114.0611,70.27,60,80,12.26,broken clouds
88,Upernavik,GL,72.7868,-56.1549,29.23,83,100,33.89,light snow
89,Labuhan,ID,-6.8844,112.2051,79.27,83,100,6.78,moderate rain
90,Iqaluit,CA,63.7506,-68.5145,25.7,73,100,18.01,overcast clouds
91,Punta Arenas,CL,-53.15,-70.9167,57.31,33,20,17.27,few clouds
92,Bethel,US,41.3712,-73.414,44.71,44,1,1.99,clear sky
93,Komsomolskiy,UZ,40.4272,71.7189,42.22,42,1,0.49,clear sky
94,Aswan,EG,24.0934,32.907,70.18,28,78,8.68,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,20,10.36,few clouds
96,Hermanus,ZA,-34.4187,19.2345,60.8,74,0,20.58,clear sky
97,Alofi,NU,-19.0595,-169.9187,82.29,74,40,4.61,scattered clouds
98,Mizdah,LY,31.4451,12.9801,61.66,48,100,2.19,overcast clouds
99,Owatonna,US,44.0839,-93.226,47.77,57,1,4.0,clear sky
100,Santa Maria,BR,-29.6842,-53.8069,85.86,30,3,8.5,clear sky
101,Qaanaaq,GL,77.484,-69.3632,-5.17,52,0,8.25,clear sky
102,Tuatapere,NZ,-46.1333,167.6833,56.44,61,100,5.75,overcast clouds
103,Mahebourg,MU,-20.4081,57.7,76.24,76,22,9.37,few clouds
104,Konstantinovka,RU,49.6167,127.9833,15.91,95,100,9.62,light snow
105,Touros,BR,-5.1989,-35.4608,85.1,74,31,15.48,scattered clouds
106,Kavaratti,IN,10.5669,72.642,80.73,79,100,3.98,overcast clouds
107,Torbay,CA,47.6666,-52.7314,49.28,98,90,14.97,mist
108,Sumenep,ID,-7.0167,113.8667,80.13,81,98,2.93,overcast clouds
109,Bulgan,MN,48.8125,103.5347,19.17,70,11,5.48,few clouds
110,San Patricio,US,28.017,-97.5169,84.29,67,100,19.33,overcast clouds
111,Wakkanai,JP,45.4094,141.6739,32.99,66,100,15.75,light snow
112,Angoche,MZ,-16.2325,39.9086,80.78,81,100,6.29,overcast clouds
113,East London,ZA,-33.0153,27.9116,62.58,70,100,6.8,light rain
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,77,7,12.68,clear sky
115,Bintulu,MY,3.1667,113.0333,76.12,93,100,8.72,overcast clouds
116,Belmonte,BR,-15.8631,-38.8828,79.3,81,28,9.75,scattered clouds
117,Brokopondo,SR,4.75,-55.1667,85.84,61,99,1.63,overcast clouds
118,Tyukhtet,RU,56.5389,89.3011,21.27,94,100,8.77,light snow
119,Cape Coast,GH,5.1053,-1.2466,81.05,85,6,8.75,clear sky
120,Cherskiy,RU,68.75,161.3,-13.54,98,100,4.07,overcast clouds
121,Kouango,CF,4.9934,19.9619,76.39,49,0,3.38,clear sky
122,Port Elizabeth,ZA,-33.918,25.5701,58.1,79,10,7.78,clear sky
123,Pevek,RU,69.7008,170.3133,-20.2,94,100,1.86,overcast clouds
124,Isangel,VU,-19.55,169.2667,73.51,100,90,0.0,light rain
125,Kaitangata,NZ,-46.2817,169.8464,56.55,60,100,3.29,overcast clouds
126,Escanaba,US,45.7453,-87.0646,46.2,72,1,10.36,clear sky
127,Neosho,US,36.869,-94.368,65.26,69,100,5.01,overcast clouds
128,Vila,PT,42.0304,-8.1588,43.93,78,95,5.5,overcast clouds
129,Leningradskiy,RU,69.3833,178.4167,-15.07,95,100,4.29,overcast clouds
